index	text	label
0	on august 10, 2003, germaine rucker was shot and killed. kentel myrone weaver later admitted to shooting rucker after the police questioned him. during jury selection for weaver’s trial, the court officer closed the court to weaver’s family and other members of the public due to overcrowding. weaver was subsequently convicted of murder in the first degree. in 2011, weaver filed a motion for a new trial and claimed that he was denied effective assistance of counsel because his counsel failed to object to the closure of the courtroom in violation of his sixth amendment right to a public trial.the trial court denied weaver’s motion. on direct appeal, the supreme judicial court of massachusetts affirmed weaver’s conviction. the court held that weaver had not shown that he suffered prejudice from his counsel’s failure to object to the court closure. although a sixth amendment violation typically constitutes a “structural error,” which is automatically presumed to be prejudicial, the court held that, when the structural error resulted from alleged ineffective assistance of counsel, the defendant must show that he suffered prejudice.	False
1	during the 2004 presidential campaign, president george w. bush's team scheduled a campaign stop in jacksonville, oregon. with the approval of local law enforcement agencies, opponents of president bush organized a peaceful demonstration to protest his policies. the demonstration took place at a public park before moving to the street near the local inn where the president was staying. eventually, both opponents and supporters of president bush gathered on the street of near the entrance to the inn, and each group had equal access to deliver its message to the president at the time of his arrival. before the president arrived, secret service agents ordered local police to push protestors away from the immediate area for security reasons. the agents then ordered that the protesters be driven farther away from the inn onto the east side of 5th street. however, agents failed to give the same directive for supporters who remained stationed on the streets close to the inn. the plaintiffs alleged that the orders to move were unintelligibly given and that police proceeded to use force before confirming that the orders were understood or were being followed.	True
2	"charles richmond worked as a welder at the navy public works center in san diego, california until 1981, when the office of personnel management (opm) approved his application to for a disability retirement. opm determined that richmond’s poor eyesight prevented him from performing his job and entitled him to receive the benefits for disabled federal employees who have completed five years of service. before 1982, an individual was ineligible for disability benefits if, in each of the two succeeding calendar years, the individual earns at least 80 percent of the current pay of the position occupied immediately prior to retirement. in 1982, this requirement was amended so that an individual becomes ineligible if he earns at least 80 percent of the pay of the previous position in any succeeding calendar year. until 1985, richmond worked part time and his earnings were low enough to keep him eligible for disability benefits. in 1985, he had the opportunity to earn more money, so he contacted opm to make sure he would remain eligible. opm provided him with the old requirements but not the new ones. richmond subsequently accepted overtime work, earned more, and became ineligible for disability benefits. he lost six months of disability pay.
richmond appealed the denial of benefits to the merit systems protection board (mspb) and argued that the fact that he received incorrect information from opm prevented them from denying his benefits. the mspb denied richmond’s appeal for review. richmond appealed to the u.s. court of appeals for the federal circuit, which reversed the decision."	True
3	in 1970, congress imposed an annual registration tax on all civil aircraft that fly in the navigable airspace of the united states. the state of massachusetts owned and utilized a helicopter for the purpose of patrolling highways and fulfilling other police duties. when massachusetts refused to pay the tax, the federal government collected it from the state's accounts, plus interest and penalties. massachusetts then sought a refund of the money collected.	False
4	 republic steel corporation, international harvester company, and interlake iron corporation operated steel mills on the banks on the calumet river.  their manufacturing processes produced industrial waste.  water containing waste was recycled back into the river.  most of the solid waste was separated and disposed of, but liquid and small particles were dumped into the river.  over time, these small particles reduced the river depth from 21 feet to less than 9 feet in some places.  the rivers and waters act prohibits the “creation of any obstruction....to the navigable capacity of any of the waters of the united states.”  the statue does allow for certain exceptions authorized by the secretary of the army.  the united states sued the steel companies for creating an obstruction by dumping their industrial waste.  the district court granted an injunction.  the u.s. court of appeals for the seventh circuit reversed, holding that the waste deposits did not constitute an “obstruction” under the act and even if it did, an injunction was not permitted.	True
5	integra lifesciences sued merck for supplying an integra patented compound to other drug companies for use in preclinical research. in response, merck claimed its actions were allowed under the federal law that said it was not an act of patent infringement to use or import a patented invention into the united states, if the invention was used only in ways related to the development and submission of information under a federal drug law (such as the law governing submission of data to the fda). the district court ruled against merck and awarded integra damages. the federal circuit affirmed the judgment but ordered a modification of damages.	True
6	"warren summerlin killed a loan collector with a hatchet in 1982 and was subsequently convicted of murder. he was sentenced to death by a state trial judge because of the heinous nature of the crime and his previous criminal history. he appealed the sentence, arguing that his attorney's romantic relationship with the prosecutor and the trial judge's proven use of marijuana had prevented him from receiving a fair trial, but the arizona state courts rejected his appeals.
in june 2002, however, the u.s. supreme court issued its decision in ring v. arizona. the decision found that the sixth amendment right to jury trial meant that only juries, not judges, could sentence someone to death. the ring decision gave summerlin new hope. he appealed his conviction, arguing that the decision changed the substance of the law rather than just the procedure used to apply it, and that it should therefore be applied retroactively. the state countered that the change dealt only with who did the actual sentencing, not with the burden of proof, and was therefore only procedural. because procedural changes are not applied retroactively under the supreme court's 1989 decision in teague v. lane, the state argued that summerlin's sentence should be upheld. a divided ninth circuit court of appeals disagreed, siding instead with summerlin and ordering the state to reopen his trial for re-sentencing."	True
7	after its decision in brown v. board of education of topeka (brown i), which declared racial discrimination in public education unconstitutional, the court convened to issue the directives which would help to implement its newly announced constitutional principle. the cases stemmed from many different regions of the united states with distinctive conditions and problems. 	False
8	"in 1974, philip agee, a former employee of the central intelligence agency, announced a campaign ""to fight the united states cia wherever it is operating."" over the next several years, agee successfully exposed a number of cia agents and sources working in other countries. when secretary of state alexander haig revoked agee's passport, agee filed suit claiming that haig did not have congressional authorization to do so. agee also claimed that the action violated his right to travel, his first amendment right to criticize the government, and his fifth amendment due process rights."	True
9	in 1989, the u.s. supreme court held that johnny paul penry had been sentenced to death in violation of the eighth amendment after finding that texas' special issues questions did not permit the jury to consider mitigating evidence involving his mental retardation. on retrial in 1990, penry was again found guilty of capital murder. the defense again put on extensive evidence regarding penry's mental impairments. ultimately, a psychiatric evaluation, which stated that penry would be dangerous to others if released, prepared at the request of penry's former counsel, was cited. upon submission to the jury, the trial judge instructed the jury to determine penry's sentence by answering the same special issues in the original penry case. additionally, the trial judge gave a supplemental instruction on mitigating evidence. the court sentenced penry to death in accordance with the jury's answers to the special issues. in affirming, the texas court of criminal appeals rejected penry's claims that the admission of language from the psychiatric evaluation violated his fifth amendment privilege against self-incrimination, and that the jury instructions were constitutionally inadequate because they did not permit the jury to consider and give effect to his particular mitigating evidence. penry's petitions for state and federal habeas corpus relief failed.	True
10	george eldridge, who had originally been deemed disabled due to chronic anxiety and back strain, was informed by letter that his disability status was ending and that his benefits would be terminated. social security administration procedures provided for ample notification and an evidentiary hearing before a final determination was made, but eldridge's benefits were cut off until that hearing could take place. eldridge challenged the termination of his benefits without such a hearing.	True
11	two u.s. district judges, william m. acker, jr., and u. w. clemon, who maintain their principal offices in jefferson county, alabama, resisted payment of a state-approved, county-authorized occupational tax on the ground that it violates the intergovernmental tax immunity doctrine. the county instituted collection suits in alabama small claims court against the judges, who removed the suits to the federal district court under the federal officer removal statute. the federal court denied the county's motions to remand and granted summary judgment for the judges, holding the county tax unconstitutional under the intergovernmental tax immunity doctrine to the extent that it reached federal judges' compensation. the en banc court of appeals affirmed. the u.s. supreme court granted jefferson county's initial petition for certiorari and remanded for further consideration of whether the tax injunction act deprived the district court of jurisdiction to adjudicate the matter. on remand, the court of appeals adhered to its prior en banc decision. certiorari was granted again to consider whether the removal from state court to federal court was unauthorized by the federal officer removal statute, the tax injunction act issue, and the merits of the case.	True
12	"david caulkett’s property was subject to two mortgage liens when he filed for bankruptcy. because the debt owed on the first mortgage exceeded the value of the property, the second mortgage, which bank of america held, was considered “underwater.” when caulkett filed for bankruptcy, he moved the bankruptcy court to void bank of america’s lien on the second mortgage and argued that section 506(d) of the bankruptcy code allowed a debtor filing for bankruptcy to void a second mortgage when the debt owed on the first mortgage exceeded the value of the collateral property. the bankruptcy court granted the motion, and both the district court and the u.s. court of appeals for the eleventh circuit affirmed.
this case was consolidated with a similar case, bank of america v. toledo-cardona, which had substantially the same facts and an identical procedural history."	True
13	"mille lacs band of chippewa indians ceded land in present-day minnesota to the u.s. in an 1837 treaty. in return, the u.s. granted the mille lacs band certain hunting, fishing, and gathering rights on the ceded land. an 1850 executive order by president taylor ordered the removal of the mille lacs band and revoked their usufructuary rights. an 1855 treaty set aside reservation lands for the mille lacs band, but did not mention their rights. the mille lacs band sued, seeking a declaratory judgment stated that they retained their usufructuary rights and an injunction to prevent the state's interference with those rights. the district court ultimately ruled that the mille lacs band retained their usufructuary rights under the 1837 treaty. the court of appeals affirmed. the courts rejected arguments that the 1850 executive order abrogated the usufructuary rights guaranteed by the 1837 treaty and that minnesota's entrance into the union in 1858 extinguished any indian treaty rights under the ""equal footing doctrine."""	False
14	"in 1997 vermont passed a campaign finance law, act 64, which imposed strict limits both on expenditures by candidates for office during the election cycle and on the contributions of individuals, political groups, and parties. neil randall, a state legislator, sued vermont attorney general william sorrell, arguing that the limits were unconstitutional infringements on first amendment freedom of speech. in randall's view, the supreme court had declared all expenditure limits unconstitutional in buckley v. valeo, and act 64's contribution limits were unconstitutionally low. sorrell countered that buckley was outmoded because that court had not considered one of vermont's justifications, namely that expenditure limits prevent candidates from spending too much time trying to raise money. sorrell also argued that vermont's interests in combating corruption and ensuring fair elections justified the contribution limits. the district court struck down the expenditure limits, but upheld most of the contribution limits. only the limits on contributions by political parties - under which national, state, and local parties together could give only $400 to a statewide candidate - were unconstitutionally low. both parties appealed the ruling to the second circuit court of appeals. the circuit court reversed, ruling that all of vermont's contribution limits were constitutional. the second circuit also found that the expenditure limits would be constitutional as long as they were ""narrowly tailored"" to the state's interests."	True
15	"brian wynne and his wife are howard county, maryland residents who own stock in maxim healthcare services, inc. (maxim), a company that provides health care services nationally. maxim's income is ""passed through"" to its owners, and the owners are then taxed individually. in 2006, maxim filed income tax returns in 39 states and allocated a share of taxes paid to each shareholder. the wynnes claimed the share of maxim's income taxes that they paid as a credit against their maryland individual income tax, which includes maryland state taxes and howard county taxes. the comptroller of maryland determined that the wynnes had incorrectly calculated their county tax credit by including the taxes they had paid to other states and issued an assessment for the remaining tax owed. the wynnes appealed to the hearings and appeals section of the comptroller's office, which noted that the wrong county tax rate had been applied initially and revised the assessment, but nonetheless affirmed that the tax credit was limited to maryland state taxes and not applicable to howard county taxes.
the wynnes appealed to the maryland tax court and argued that the limitation violated the dormant commerce clause of the constitution. the tax court rejected the wynnes' argument and affirmed the revised assessment. the wynnes then appealed to the maryland circuit court for howard county. the circuit court reversed the tax court's decision and held that the county tax without a credit violated the dormant commerce clause. the comptroller appealed to the maryland court of appeals and argued that the commerce clause was not implicated by the county tax. the maryland court of appeals affirmed the circuit court by finding that the county tax implicates the dormant commerce clause because it affects the interstate market for capital and business investment and the overlapping power to tax income from such sources. the maryland court of appeals held that the county tax without a credit violated the commerce clause because the county tax is not fairly apportioned, since taxpayers who earn income from interstate activities would be taxed at higher rates than taxpayers who earn income exclusively in maryland while the tax covers income earned wholly outside of maryland. the maryland court of appeals also held that the county tax is discriminatory against interstate commerce since it favors businesses that do business primarily in maryland."	False
16	eight black citizens of burke county, georgia, challenged the at-large system of elections within the county. although a substantial number of blacks lived within the county, no minority candidate had ever been elected to the burke county board of commissioners, the chief governing body. to be elected, candidates had to receive a majority of the votes cast in the primary or general election.	False
17	in 1983, the predecessor-in-interest to eli lilly &amp; co. sued medtronic, inc. for patent infringement to enjoin medtronic’s research and marketing of an implantable cardiac defibrillator, a device used to treat heart problems. medtronic argued that the information was used to develop and submit new information under the food, drug, and cosmetic act (fdca), and therefore it was exempt from the statutes governing patent infringement. the district court held that there was no such exemption and issued a permanent injunction. the u.s. court of appeals for the federal circuit reversed and held that medtronic’s actions could not be considered patent infringement if they were reasonably related to obtaining approval under the fdca.	False
